a,b,seq,,,,,,,,22,43,1
1,3,0,,,,,,,,22,45,0
2,3,1,,,,,,,,22,46,5
1,4,2,,,,,,,,22,47,27
3,4,0,,,,,,,,22,48,1
1,5,3,,,,,,,,22,49,11
2,5,3,,,,,,,,22,50,5
3,5,4,,,,,,,,22,51,21
4,5,5,,,,,,,,22,52,0
1,6,6,,,,,,,,22,53,1
2,6,7,,,,,,,,22,54,40
4,6,0,,,,,,,,23,40,5
5,6,3,,,,,,,,23,41,7
1,7,8,,,,,,,,23,42,1
2,7,9,,,,,,,,23,43,3
3,7,1,,,,,,,,23,44,5
4,7,8,,,,,,,,23,45,23
5,7,3,,,,,,,,23,47,1
6,7,10,,,,,,,,23,48,3
1,8,7,,,,,,,,23,49,3
2,8,1,,,,,,,,23,50,23
3,8,0,,,,,,,,23,51,8
5,8,5,,,,,,,,23,52,1
6,8,7,,,,,,,,23,53,5
7,8,1,,,,,,,,23,54,3
1,9,2,,,,,,,,22,40,40
2,9,11,,,,,,,,22,41,5
3,9,12,,,,,,,,22,42,21
4,9,13,,,,,,,,,,
5,9,7,,,,,,,,,,
6,9,2,,,,,,,,,,
7,9,14,,,,,,,,,,
8,9,7,,,,,,,,,,
1,10,0,,,,,,,,,,
2,10,15,,,,,,,,,,
3,10,4,,,,,,,,,,
4,10,0,,,,,,,,,,
6,10,3,,,,,,,,,,
7,10,3,,,,,,,,,,
8,10,0,,,,,,,,,,
9,10,15,,,,,,,,,,
1,11,16,,,,,,,,,,
2,11,4,,,,,,,,,,
3,11,0,,,,,,,,,,
4,11,2,,,,,,,,,,
5,11,4,,,,,,,,,,
6,11,0,,,,,,,,,,
7,11,17,,,,,,,,,,
8,11,16,,,,,,,,,,
9,11,2,,,,,,,,,,
10,11,0,,,,,,,,,,
1,12,15,,,,,,,,,,
2,12,18,,,,,,,,,,
3,12,1,,,,,,,,,,
4,12,3,,,,,,,,,,
5,12,3,,,,,,,,,,
7,12,8,,,,,,,,,,
8,12,1,,,,,,,,,,
9,12,12,,,,,,,,,,
10,12,3,,,,,,,,,,
11,12,11,,,,,,,,,,
1,13,5,,,,,,,,,,
2,13,1,,,,,,,,,,
3,13,4,,,,,,,,,,
4,13,0,,,,,,,,,,
5,13,3,,,,,,,,,,
6,13,4,,,,,,,,,,
7,13,1,,,,,,,,,,
8,13,19,,,,,,,,,,
9,13,20,,,,,,,,,,
10,13,5,,,,,,,,,,
11,13,0,,,,,,,,,,
12,13,1,,,,,,,,,,
1,14,2,,,,,,,,,,
2,14,7,,,,,,,,,,
3,14,15,,,,,,,,,,
4,14,5,,,,,,,,,,
5,14,4,,,,,,,,,,
6,14,2,,,,,,,,,,
8,14,5,,,,,,,,,,
9,14,11,,,,,,,,,,
10,14,7,,,,,,,,,,
11,14,2,,,,,,,,,,
12,14,11,,,,,,,,,,
13,14,4,,,,,,,,,,
1,15,3,,,,,,,,,,
2,15,15,,,,,,,,,,
3,15,0,,,,,,,,,,
4,15,21,,,,,,,,,,
5,15,22,,,,,,,,,,
6,15,3,,,,,,,,,,
7,15,8,,,,,,,,,,
8,15,11,,,,,,,,,,
9,15,15,,,,,,,,,,
10,15,0,,,,,,,,,,
11,15,23,,,,,,,,,,
12,15,3,,,,,,,,,,
13,15,20,,,,,,,,,,
14,15,8,,,,,,,,,,
1,16,3,,,,,,,,,,
2,16,3,,,,,,,,,,
3,16,7,,,,,,,,,,
4,16,2,,,,,,,,,,
5,16,15,,,,,,,,,,
6,16,3,,,,,,,,,,
7,16,3,,,,,,,,,,
9,16,2,,,,,,,,,,
10,16,23,,,,,,,,,,
11,16,24,,,,,,,,,,
12,16,3,,,,,,,,,,
13,16,3,,,,,,,,,,
14,16,2,,,,,,,,,,
15,16,22,,,,,,,,,,
1,17,0,,,,,,,,,,
2,17,7,,,,,,,,,,
3,17,1,,,,,,,,,,
4,17,0,,,,,,,,,,
5,17,3,,,,,,,,,,
6,17,14,,,,,,,,,,
7,17,25,,,,,,,,,,
8,17,0,,,,,,,,,,
9,17,3,,,,,,,,,,
10,17,3,,,,,,,,,,
11,17,0,,,,,,,,,,
12,17,26,,,,,,,,,,
13,17,1,,,,,,,,,,
14,17,5,,,,,,,,,,
15,17,0,,,,,,,,,,
16,17,3,,,,,,,,,,
1,18,8,,,,,,,,,,
2,18,1,,,,,,,,,,
3,18,0,,,,,,,,,,
4,18,8,,,,,,,,,,
5,18,3,,,,,,,,,,
6,18,0,,,,,,,,,,
7,18,1,,,,,,,,,,
8,18,8,,,,,,,,,,
10,18,0,,,,,,,,,,
11,18,4,,,,,,,,,,
12,18,1,,,,,,,,,,
13,18,0,,,,,,,,,,
14,18,23,,,,,,,,,,
15,18,8,,,,,,,,,,
16,18,3,,,,,,,,,,
17,18,0,,,,,,,,,,
1,19,2,,,,,,,,,,
2,19,4,,,,,,,,,,
3,19,7,,,,,,,,,,
4,19,5,,,,,,,,,,
5,19,4,,,,,,,,,,
6,19,2,,,,,,,,,,
7,19,8,,,,,,,,,,
8,19,15,,,,,,,,,,
9,19,7,,,,,,,,,,
10,19,4,,,,,,,,,,
11,19,2,,,,,,,,,,
12,19,7,,,,,,,,,,
13,19,4,,,,,,,,,,
14,19,7,,,,,,,,,,
15,19,15,,,,,,,,,,
16,19,2,,,,,,,,,,
17,19,7,,,,,,,,,,
18,19,4,,,,,,,,,,
1,20,27,,,,,,,,,,
2,20,15,,,,,,,,,,
3,20,23,,,,,,,,,,
4,20,0,,,,,,,,,,
5,20,7,,,,,,,,,,
6,20,3,,,,,,,,,,
7,20,15,,,,,,,,,,
8,20,7,,,,,,,,,,
9,20,14,,,,,,,,,,
11,20,0,,,,,,,,,,
12,20,15,,,,,,,,,,
13,20,28,,,,,,,,,,
14,20,15,,,,,,,,,,
15,20,22,,,,,,,,,,
16,20,7,,,,,,,,,,
17,20,3,,,,,,,,,,
18,20,0,,,,,,,,,,
19,20,7,,,,,,,,,,
1,21,3,,,,,,,,,,
2,21,23,,,,,,,,,,
3,21,4,,,,,,,,,,
4,21,2,,,,,,,,,,
5,21,12,,,,,,,,,,
6,21,3,,,,,,,,,,
7,21,3,,,,,,,,,,
8,21,29,,,,,,,,,,
9,21,2,,,,,,,,,,
10,21,15,,,,,,,,,,
11,21,4,,,,,,,,,,
12,21,3,,,,,,,,,,
13,21,30,,,,,,,,,,
14,21,2,,,,,,,,,,
15,21,8,,,,,,,,,,
16,21,31,,,,,,,,,,
17,21,3,,,,,,,,,,
18,21,3,,,,,,,,,,
19,21,2,,,,,,,,,,
20,21,23,,,,,,,,,,
1,22,5,,,,,,,,,,
2,22,15,,,,,,,,,,
3,22,0,,,,,,,,,,
4,22,13,,,,,,,,,,
5,22,4,,,,,,,,,,
6,22,21,,,,,,,,,,
7,22,14,,,,,,,,,,
8,22,1,,,,,,,,,,
9,22,11,,,,,,,,,,
10,22,0,,,,,,,,,,
12,22,15,,,,,,,,,,
13,22,1,,,,,,,,,,
14,22,5,,,,,,,,,,
15,22,21,,,,,,,,,,
16,22,15,,,,,,,,,,
17,22,0,,,,,,,,,,
18,22,1,,,,,,,,,,
19,22,5,,,,,,,,,,
20,22,14,,,,,,,,,,
21,22,4,,,,,,,,,,
1,23,32,,,,,,,,,,
2,23,1,,,,,,,,,,
3,23,21,,,,,,,,,,
4,23,3,,,,,,,,,,
5,23,3,,,,,,,,,,
6,23,23,,,,,,,,,,
7,23,1,,,,,,,,,,
8,23,5,,,,,,,,,,
9,23,33,,,,,,,,,,
10,23,3,,,,,,,,,,
11,23,23,,,,,,,,,,
12,23,1,,,,,,,,,,
13,23,5,,,,,,,,,,
14,23,31,,,,,,,,,,
15,23,3,,,,,,,,,,
16,23,3,,,,,,,,,,
17,23,1,,,,,,,,,,
18,23,8,,,,,,,,,,
19,23,7,,,,,,,,,,
20,23,32,,,,,,,,,,
21,23,3,,,,,,,,,,
22,23,1,,,,,,,,,,
1,24,0,,,,,,,,,,
2,24,9,,,,,,,,,,
3,24,7,,,,,,,,,,
4,24,0,,,,,,,,,,
5,24,3,,,,,,,,,,
6,24,2,,,,,,,,,,
7,24,34,,,,,,,,,,
8,24,0,,,,,,,,,,
9,24,31,,,,,,,,,,
10,24,15,,,,,,,,,,
11,24,0,,,,,,,,,,
13,24,15,,,,,,,,,,
14,24,7,,,,,,,,,,
15,24,0,,,,,,,,,,
16,24,2,,,,,,,,,,
17,24,7,,,,,,,,,,
18,24,0,,,,,,,,,,
19,24,9,,,,,,,,,,
20,24,15,,,,,,,,,,
21,24,2,,,,,,,,,,
22,24,0,,,,,,,,,,
23,24,23,,,,,,,,,,
1,25,35,,,,,,,,,,
2,25,7,,,,,,,,,,
3,25,0,,,,,,,,,,
4,25,8,,,,,,,,,,
5,25,7,,,,,,,,,,
6,25,0,,,,,,,,,,
7,25,15,,,,,,,,,,
8,25,7,,,,,,,,,,
9,25,12,,,,,,,,,,
10,25,0,,,,,,,,,,
11,25,17,,,,,,,,,,
12,25,11,,,,,,,,,,
13,25,0,,,,,,,,,,
14,25,36,,,,,,,,,,
15,25,8,,,,,,,,,,
16,25,7,,,,,,,,,,
17,25,0,,,,,,,,,,
18,25,12,,,,,,,,,,
19,25,7,,,,,,,,,,
20,25,0,,,,,,,,,,
21,25,7,,,,,,,,,,
22,25,27,,,,,,,,,,
23,25,33,,,,,,,,,,
24,25,0,,,,,,,,,,
1,26,3,,,,,,,,,,
2,26,37,,,,,,,,,,
3,26,4,,,,,,,,,,
4,26,2,,,,,,,,,,
5,26,5,,,,,,,,,,
6,26,3,,,,,,,,,,
7,26,8,,,,,,,,,,
8,26,11,,,,,,,,,,
9,26,2,,,,,,,,,,
10,26,8,,,,,,,,,,
11,26,4,,,,,,,,,,
12,26,3,,,,,,,,,,
14,26,2,,,,,,,,,,
15,26,15,,,,,,,,,,
16,26,22,,,,,,,,,,
17,26,3,,,,,,,,,,
18,26,8,,,,,,,,,,
19,26,2,,,,,,,,,,
20,26,36,,,,,,,,,,
21,26,8,,,,,,,,,,
22,26,15,,,,,,,,,,
23,26,3,,,,,,,,,,
24,26,2,,,,,,,,,,
25,26,8,,,,,,,,,,
1,27,3,,,,,,,,,,
2,27,3,,,,,,,,,,
3,27,1,,,,,,,,,,
4,27,0,,,,,,,,,,
5,27,4,,,,,,,,,,
6,27,3,,,,,,,,,,
7,27,3,,,,,,,,,,
8,27,1,,,,,,,,,,
9,27,7,,,,,,,,,,
10,27,4,,,,,,,,,,
11,27,0,,,,,,,,,,
12,27,3,,,,,,,,,,
13,27,1,,,,,,,,,,
14,27,7,,,,,,,,,,
15,27,9,,,,,,,,,,
16,27,38,,,,,,,,,,
17,27,3,,,,,,,,,,
18,27,0,,,,,,,,,,
19,27,15,,,,,,,,,,
20,27,7,,,,,,,,,,
21,27,4,,,,,,,,,,
22,27,24,,,,,,,,,,
23,27,1,,,,,,,,,,
24,27,3,,,,,,,,,,
25,27,0,,,,,,,,,,
26,27,4,,,,,,,,,,
1,28,39,,,,,,,,,,
2,28,1,,,,,,,,,,
3,28,23,,,,,,,,,,
4,28,3,,,,,,,,,,
5,28,3,,,,,,,,,,
6,28,11,,,,,,,,,,
7,28,1,,,,,,,,,,
8,28,7,,,,,,,,,,
9,28,3,,,,,,,,,,
10,28,3,,,,,,,,,,
11,28,23,,,,,,,,,,
12,28,1,,,,,,,,,,
13,28,5,,,,,,,,,,
15,28,3,,,,,,,,,,
16,28,3,,,,,,,,,,
17,28,1,,,,,,,,,,
18,28,18,,,,,,,,,,
19,28,7,,,,,,,,,,
20,28,3,,,,,,,,,,
21,28,3,,,,,,,,,,
22,28,1,,,,,,,,,,
23,28,31,,,,,,,,,,
24,28,7,,,,,,,,,,
25,28,39,,,,,,,,,,
26,28,3,,,,,,,,,,
27,28,1,,,,,,,,,,
1,29,2,,,,,,,,,,
2,29,11,,,,,,,,,,
3,29,0,,,,,,,,,,
4,29,8,,,,,,,,,,
5,29,3,,,,,,,,,,
6,29,2,,,,,,,,,,
7,29,17,,,,,,,,,,
8,29,8,,,,,,,,,,
9,29,12,,,,,,,,,,
10,29,0,,,,,,,,,,
11,29,2,,,,,,,,,,
12,29,8,,,,,,,,,,
13,29,15,,,,,,,,,,
14,29,4,,,,,,,,,,
15,29,8,,,,,,,,,,
16,29,2,,,,,,,,,,
17,29,0,,,,,,,,,,
18,29,15,,,,,,,,,,
19,29,4,,,,,,,,,,
20,29,15,,,,,,,,,,
21,29,2,,,,,,,,,,
22,29,4,,,,,,,,,,
23,29,8,,,,,,,,,,
24,29,0,,,,,,,,,,
25,29,15,,,,,,,,,,
26,29,2,,,,,,,,,,
27,29,3,,,,,,,,,,
28,29,11,,,,,,,,,,
1,30,7,,,,,,,,,,
2,30,40,,,,,,,,,,
3,30,7,,,,,,,,,,
4,30,18,,,,,,,,,,
5,30,4,,,,,,,,,,
6,30,7,,,,,,,,,,
7,30,8,,,,,,,,,,
8,30,16,,,,,,,,,,
9,30,7,,,,,,,,,,
10,30,40,,,,,,,,,,
11,30,31,,,,,,,,,,
12,30,7,,,,,,,,,,
13,30,4,,,,,,,,,,
14,30,7,,,,,,,,,,
16,30,24,,,,,,,,,,
17,30,7,,,,,,,,,,
18,30,8,,,,,,,,,,
19,30,14,,,,,,,,,,
20,30,7,,,,,,,,,,
21,30,4,,,,,,,,,,
22,30,13,,,,,,,,,,
23,30,7,,,,,,,,,,
24,30,15,,,,,,,,,,
25,30,7,,,,,,,,,,
26,30,41,,,,,,,,,,
27,30,16,,,,,,,,,,
28,30,7,,,,,,,,,,
29,30,4,,,,,,,,,,
1,31,0,,,,,,,,,,
2,31,42,,,,,,,,,,
3,31,15,,,,,,,,,,
4,31,0,,,,,,,,,,
5,31,5,,,,,,,,,,
6,31,3,,,,,,,,,,
7,31,22,,,,,,,,,,
8,31,0,,,,,,,,,,
9,31,2,,,,,,,,,,
10,31,5,,,,,,,,,,
11,31,0,,,,,,,,,,
12,31,11,,,,,,,,,,
13,31,20,,,,,,,,,,
14,31,2,,,,,,,,,,
15,31,0,,,,,,,,,,
16,31,7,,,,,,,,,,
17,31,3,,,,,,,,,,
18,31,0,,,,,,,,,,
19,31,2,,,,,,,,,,
20,31,15,,,,,,,,,,
21,31,12,,,,,,,,,,
22,31,0,,,,,,,,,,
23,31,5,,,,,,,,,,
24,31,2,,,,,,,,,,
25,31,0,,,,,,,,,,
26,31,6,,,,,,,,,,
27,31,7,,,,,,,,,,
28,31,3,,,,,,,,,,
29,31,0,,,,,,,,,,
30,31,7,,,,,,,,,,
1,32,3,,,,,,,,,,
2,32,15,,,,,,,,,,
3,32,0,,,,,,,,,,
4,32,5,,,,,,,,,,
5,32,11,,,,,,,,,,
6,32,0,,,,,,,,,,
7,32,3,,,,,,,,,,
8,32,1,,,,,,,,,,
9,32,15,,,,,,,,,,
10,32,0,,,,,,,,,,
11,32,11,,,,,,,,,,
12,32,3,,,,,,,,,,
13,32,0,,,,,,,,,,
14,32,7,,,,,,,,,,
15,32,8,,,,,,,,,,
17,32,0,,,,,,,,,,
18,32,1,,,,,,,,,,
19,32,15,,,,,,,,,,
20,32,0,,,,,,,,,,
21,32,21,,,,,,,,,,
22,32,5,,,,,,,,,,
23,32,1,,,,,,,,,,
24,32,0,,,,,,,,,,
25,32,7,,,,,,,,,,
26,32,5,,,,,,,,,,
27,32,0,,,,,,,,,,
28,32,1,,,,,,,,,,
29,32,3,,,,,,,,,,
30,32,14,,,,,,,,,,
31,32,0,,,,,,,,,,
1,33,43,,,,,,,,,,
2,33,1,,,,,,,,,,
3,33,23,,,,,,,,,,
4,33,21,,,,,,,,,,
5,33,15,,,,,,,,,,
6,33,10,,,,,,,,,,
7,33,1,,,,,,,,,,
8,33,23,,,,,,,,,,
9,33,14,,,,,,,,,,
10,33,27,,,,,,,,,,
11,33,44,,,,,,,,,,
12,33,1,,,,,,,,,,
13,33,21,,,,,,,,,,
14,33,31,,,,,,,,,,
15,33,45,,,,,,,,,,
16,33,23,,,,,,,,,,
17,33,1,,,,,,,,,,
18,33,32,,,,,,,,,,
19,33,10,,,,,,,,,,
20,33,27,,,,,,,,,,
21,33,23,,,,,,,,,,
22,33,1,,,,,,,,,,
23,33,32,,,,,,,,,,
24,33,31,,,,,,,,,,
25,33,46,,,,,,,,,,
26,33,27,,,,,,,,,,
27,33,1,,,,,,,,,,
28,33,29,,,,,,,,,,
29,33,23,,,,,,,,,,
30,33,28,,,,,,,,,,
31,33,21,,,,,,,,,,
32,33,1,,,,,,,,,,
1,34,2,,,,,,,,,,
2,34,23,,,,,,,,,,
3,34,4,,,,,,,,,,
4,34,0,,,,,,,,,,
5,34,3,,,,,,,,,,
6,34,2,,,,,,,,,,
7,34,8,,,,,,,,,,
8,34,7,,,,,,,,,,
9,34,11,,,,,,,,,,
10,34,3,,,,,,,,,,
11,34,0,,,,,,,,,,
12,34,11,,,,,,,,,,
13,34,38,,,,,,,,,,
14,34,12,,,,,,,,,,
15,34,3,,,,,,,,,,
16,34,2,,,,,,,,,,
18,34,0,,,,,,,,,,
19,34,4,,,,,,,,,,
20,34,23,,,,,,,,,,
21,34,2,,,,,,,,,,
22,34,47,,,,,,,,,,
23,34,23,,,,,,,,,,
24,34,48,,,,,,,,,,
25,34,0,,,,,,,,,,
26,34,2,,,,,,,,,,
27,34,3,,,,,,,,,,
28,34,18,,,,,,,,,,
29,34,8,,,,,,,,,,
30,34,7,,,,,,,,,,
31,34,2,,,,,,,,,,
32,34,0,,,,,,,,,,
33,34,23,,,,,,,,,,
1,35,21,,,,,,,,,,
2,35,4,,,,,,,,,,
3,35,7,,,,,,,,,,
4,35,13,,,,,,,,,,
5,35,3,,,,,,,,,,
6,35,7,,,,,,,,,,
7,35,14,,,,,,,,,,
8,35,11,,,,,,,,,,
9,35,40,,,,,,,,,,
10,35,4,,,,,,,,,,
11,35,24,,,,,,,,,,
12,35,15,,,,,,,,,,
13,35,4,,,,,,,,,,
14,35,5,,,,,,,,,,
15,35,49,,,,,,,,,,
16,35,3,,,,,,,,,,
17,35,7,,,,,,,,,,
18,35,4,,,,,,,,,,
19,35,21,,,,,,,,,,
20,35,14,,,,,,,,,,
21,35,4,,,,,,,,,,
22,35,40,,,,,,,,,,
23,35,5,,,,,,,,,,
24,35,50,,,,,,,,,,
25,35,7,,,,,,,,,,
26,35,4,,,,,,,,,,
27,35,3,,,,,,,,,,
28,35,7,,,,,,,,,,
29,35,4,,,,,,,,,,
30,35,13,,,,,,,,,,
31,35,51,,,,,,,,,,
32,35,5,,,,,,,,,,
33,35,14,,,,,,,,,,
34,35,4,,,,,,,,,,
1,36,27,,,,,,,,,,
2,36,7,,,,,,,,,,
3,36,0,,,,,,,,,,
4,36,2,,,,,,,,,,
5,36,7,,,,,,,,,,
6,36,23,,,,,,,,,,
7,36,9,,,,,,,,,,
8,36,7,,,,,,,,,,
9,36,2,,,,,,,,,,
10,36,0,,,,,,,,,,
11,36,23,,,,,,,,,,
12,36,52,,,,,,,,,,
13,36,7,,,,,,,,,,
14,36,2,,,,,,,,,,
15,36,8,,,,,,,,,,
16,36,7,,,,,,,,,,
17,36,0,,,,,,,,,,
19,36,2,,,,,,,,,,
20,36,15,,,,,,,,,,
21,36,7,,,,,,,,,,
22,36,15,,,,,,,,,,
23,36,52,,,,,,,,,,
24,36,0,,,,,,,,,,
25,36,15,,,,,,,,,,
26,36,8,,,,,,,,,,
27,36,7,,,,,,,,,,
28,36,53,,,,,,,,,,
29,36,2,,,,,,,,,,
30,36,7,,,,,,,,,,
31,36,0,,,,,,,,,,
32,36,7,,,,,,,,,,
33,36,27,,,,,,,,,,
34,36,2,,,,,,,,,,
35,36,7,,,,,,,,,,
1,37,3,,,,,,,,,,
2,37,15,,,,,,,,,,
3,37,1,,,,,,,,,,
4,37,5,,,,,,,,,,
5,37,23,,,,,,,,,,
6,37,3,,,,,,,,,,
7,37,8,,,,,,,,,,
8,37,1,,,,,,,,,,
9,37,28,,,,,,,,,,
10,37,8,,,,,,,,,,
11,37,4,,,,,,,,,,
12,37,3,,,,,,,,,,
13,37,1,,,,,,,,,,
14,37,4,,,,,,,,,,
15,37,23,,,,,,,,,,
16,37,54,,,,,,,,,,
17,37,3,,,,,,,,,,
18,37,1,,,,,,,,,,
19,37,4,,,,,,,,,,
20,37,32,,,,,,,,,,
21,37,8,,,,,,,,,,
22,37,4,,,,,,,,,,
23,37,1,,,,,,,,,,
24,37,15,,,,,,,,,,
25,37,8,,,,,,,,,,
26,37,21,,,,,,,,,,
27,37,4,,,,,,,,,,
28,37,1,,,,,,,,,,
29,37,8,,,,,,,,,,
30,37,4,,,,,,,,,,
31,37,5,,,,,,,,,,
32,37,8,,,,,,,,,,
33,37,1,,,,,,,,,,
34,37,3,,,,,,,,,,
35,37,4,,,,,,,,,,
36,37,8,,,,,,,,,,
1,38,0,,,,,,,,,,
2,38,1,,,,,,,,,,
3,38,7,,,,,,,,,,
4,38,0,,,,,,,,,,
5,38,4,,,,,,,,,,
6,38,3,,,,,,,,,,
7,38,1,,,,,,,,,,
8,38,0,,,,,,,,,,
9,38,7,,,,,,,,,,
10,38,15,,,,,,,,,,
11,38,0,,,,,,,,,,
12,38,1,,,,,,,,,,
13,38,3,,,,,,,,,,
14,38,7,,,,,,,,,,
15,38,0,,,,,,,,,,
16,38,22,,,,,,,,,,
17,38,1,,,,,,,,,,
18,38,0,,,,,,,,,,
20,38,7,,,,,,,,,,
21,38,4,,,,,,,,,,
22,38,0,,,,,,,,,,
23,38,3,,,,,,,,,,
24,38,3,,,,,,,,,,
25,38,0,,,,,,,,,,
26,38,27,,,,,,,,,,
27,38,1,,,,,,,,,,
28,38,3,,,,,,,,,,
29,38,0,,,,,,,,,,
30,38,30,,,,,,,,,,
31,38,7,,,,,,,,,,
32,38,0,,,,,,,,,,
33,38,6,,,,,,,,,,
34,38,3,,,,,,,,,,
35,38,3,,,,,,,,,,
36,38,0,,,,,,,,,,
37,38,1,,,,,,,,,,
1,39,2,,,,,,,,,,
2,39,7,,,,,,,,,,
3,39,0,,,,,,,,,,
4,39,3,,,,,,,,,,
5,39,3,,,,,,,,,,
6,39,0,,,,,,,,,,
7,39,15,,,,,,,,,,
8,39,7,,,,,,,,,,
9,39,3,,,,,,,,,,
10,39,0,,,,,,,,,,
11,39,2,,,,,,,,,,
12,39,15,,,,,,,,,,
13,39,0,,,,,,,,,,
14,39,15,,,,,,,,,,
15,39,3,,,,,,,,,,
16,39,2,,,,,,,,,,
17,39,0,,,,,,,,,,
18,39,55,,,,,,,,,,
19,39,7,,,,,,,,,,
20,39,0,,,,,,,,,,
21,39,2,,,,,,,,,,
22,39,46,,,,,,,,,,
23,39,21,,,,,,,,,,
24,39,0,,,,,,,,,,
25,39,33,,,,,,,,,,
26,39,2,,,,,,,,,,
27,39,0,,,,,,,,,,
28,39,37,,,,,,,,,,
29,39,15,,,,,,,,,,
