a,b,seq,,,,,,,,22,43,1
30,39,7,,,,,,,,,,
31,39,0,,,,,,,,,,
32,39,3,,,,,,,,,,
33,39,15,,,,,,,,,,
34,39,0,,,,,,,,,,
35,39,7,,,,,,,,,,
36,39,2,,,,,,,,,,
37,39,3,,,,,,,,,,
38,39,0,,,,,,,,,,
1,40,5,,,,,,,,,,
2,40,56,,,,,,,,,,
3,40,40,,,,,,,,,,
4,40,8,,,,,,,,,,
5,40,3,,,,,,,,,,
6,40,21,,,,,,,,,,
7,40,31,,,,,,,,,,
8,40,8,,,,,,,,,,
9,40,57,,,,,,,,,,
10,40,3,,,,,,,,,,
11,40,31,,,,,,,,,,
12,40,8,,,,,,,,,,
13,40,58,,,,,,,,,,
14,40,5,,,,,,,,,,
15,40,8,,,,,,,,,,
16,40,3,,,,,,,,,,
17,40,59,,,,,,,,,,
18,40,23,,,,,,,,,,
19,40,5,,,,,,,,,,
21,40,3,,,,,,,,,,
22,40,40,,,,,,,,,,
23,40,5,,,,,,,,,,
24,40,21,,,,,,,,,,
25,40,46,,,,,,,,,,
26,40,8,,,,,,,,,,
27,40,3,,,,,,,,,,
28,40,5,,,,,,,,,,
29,40,26,,,,,,,,,,
30,40,8,,,,,,,,,,
31,40,23,,,,,,,,,,
32,40,3,,,,,,,,,,
33,40,21,,,,,,,,,,
34,40,8,,,,,,,,,,
35,40,26,,,,,,,,,,
36,40,52,,,,,,,,,,
37,40,5,,,,,,,,,,
38,40,3,,,,,,,,,,
39,40,46,,,,,,,,,,
1,41,7,,,,,,,,,,
2,41,9,,,,,,,,,,
3,41,7,,,,,,,,,,
4,41,0,,,,,,,,,,
5,41,15,,,,,,,,,,
6,41,7,,,,,,,,,,
7,41,8,,,,,,,,,,
8,41,5,,,,,,,,,,
9,41,2,,,,,,,,,,
10,41,15,,,,,,,,,,
11,41,0,,,,,,,,,,
12,41,7,,,,,,,,,,
13,41,5,,,,,,,,,,
14,41,2,,,,,,,,,,
15,41,15,,,,,,,,,,
16,41,23,,,,,,,,,,
17,41,5,,,,,,,,,,
18,41,0,,,,,,,,,,
19,41,2,,,,,,,,,,
20,41,7,,,,,,,,,,
21,41,21,,,,,,,,,,
22,41,5,,,,,,,,,,
23,41,7,,,,,,,,,,
24,41,2,,,,,,,,,,
25,41,0,,,,,,,,,,
26,41,5,,,,,,,,,,
27,41,15,,,,,,,,,,
28,41,7,,,,,,,,,,
29,41,2,,,,,,,,,,
30,41,15,,,,,,,,,,
31,41,5,,,,,,,,,,
32,41,0,,,,,,,,,,
33,41,31,,,,,,,,,,
34,41,2,,,,,,,,,,
35,41,5,,,,,,,,,,
36,41,7,,,,,,,,,,
37,41,15,,,,,,,,,,
38,41,27,,,,,,,,,,
39,41,0,,,,,,,,,,
40,41,5,,,,,,,,,,
1,42,27,,,,,,,,,,
2,42,15,,,,,,,,,,
3,42,1,,,,,,,,,,
4,42,21,,,,,,,,,,
5,42,7,,,,,,,,,,
6,42,3,,,,,,,,,,
7,42,15,,,,,,,,,,
8,42,1,,,,,,,,,,
9,42,11,,,,,,,,,,
10,42,23,,,,,,,,,,
11,42,4,,,,,,,,,,
12,42,15,,,,,,,,,,
13,42,1,,,,,,,,,,
14,42,36,,,,,,,,,,
15,42,23,,,,,,,,,,
16,42,7,,,,,,,,,,
17,42,3,,,,,,,,,,
18,42,1,,,,,,,,,,
19,42,4,,,,,,,,,,
20,42,23,,,,,,,,,,
22,42,21,,,,,,,,,,
23,42,1,,,,,,,,,,
24,42,15,,,,,,,,,,
25,42,55,,,,,,,,,,
26,42,35,,,,,,,,,,
27,42,4,,,,,,,,,,
28,42,1,,,,,,,,,,
29,42,11,,,,,,,,,,
30,42,7,,,,,,,,,,
31,42,21,,,,,,,,,,
32,42,60,,,,,,,,,,
33,42,1,,,,,,,,,,
34,42,39,,,,,,,,,,
35,42,4,,,,,,,,,,
36,42,15,,,,,,,,,,
37,42,31,,,,,,,,,,
38,42,1,,,,,,,,,,
39,42,3,,,,,,,,,,
40,42,21,,,,,,,,,,
41,42,7,,,,,,,,,,
1,43,3,,,,,,,,,,
2,43,1,,,,,,,,,,
3,43,0,,,,,,,,,,
4,43,8,,,,,,,,,,
5,43,4,,,,,,,,,,
6,43,3,,,,,,,,,,
7,43,1,,,,,,,,,,
8,43,28,,,,,,,,,,
9,43,13,,,,,,,,,,
10,43,0,,,,,,,,,,
11,43,17,,,,,,,,,,
12,43,1,,,,,,,,,,
13,43,4,,,,,,,,,,
14,43,7,,,,,,,,,,
15,43,8,,,,,,,,,,
16,43,35,,,,,,,,,,
17,43,0,,,,,,,,,,
18,43,3,,,,,,,,,,
19,43,14,,,,,,,,,,
20,43,36,,,,,,,,,,
21,43,4,,,,,,,,,,
22,43,1,,,,,,,,,,
23,43,3,,,,,,,,,,
24,43,0,,,,,,,,,,
25,43,7,,,,,,,,,,
26,43,4,,,,,,,,,,
27,43,1,,,,,,,,,,
28,43,3,,,,,,,,,,
29,43,3,,,,,,,,,,
30,43,22,,,,,,,,,,
31,43,0,,,,,,,,,,
32,43,1,,,,,,,,,,
33,43,35,,,,,,,,,,
34,43,3,,,,,,,,,,
35,43,13,,,,,,,,,,
36,43,7,,,,,,,,,,
37,43,1,,,,,,,,,,
38,43,0,,,,,,,,,,
39,43,3,,,,,,,,,,
40,43,3,,,,,,,,,,
41,43,25,,,,,,,,,,
42,43,1,,,,,,,,,,
1,44,2,,,,,,,,,,
2,44,15,,,,,,,,,,
3,44,23,,,,,,,,,,
4,44,15,,,,,,,,,,
5,44,5,,,,,,,,,,
6,44,2,,,,,,,,,,
7,44,15,,,,,,,,,,
8,44,12,,,,,,,,,,
9,44,15,,,,,,,,,,
10,44,21,,,,,,,,,,
11,44,2,,,,,,,,,,
12,44,12,,,,,,,,,,
13,44,38,,,,,,,,,,
14,44,5,,,,,,,,,,
15,44,9,,,,,,,,,,
16,44,2,,,,,,,,,,
17,44,61,,,,,,,,,,
18,44,18,,,,,,,,,,
19,44,15,,,,,,,,,,
20,44,37,,,,,,,,,,
21,44,2,,,,,,,,,,
23,44,5,,,,,,,,,,
24,44,15,,,,,,,,,,
25,44,12,,,,,,,,,,
26,44,2,,,,,,,,,,
27,44,23,,,,,,,,,,
28,44,21,,,,,,,,,,
29,44,15,,,,,,,,,,
30,44,44,,,,,,,,,,
31,44,2,,,,,,,,,,
32,44,5,,,,,,,,,,
33,44,37,,,,,,,,,,
34,44,12,,,,,,,,,,
35,44,31,,,,,,,,,,
36,44,2,,,,,,,,,,
37,44,21,,,,,,,,,,
38,44,12,,,,,,,,,,
39,44,29,,,,,,,,,,
40,44,23,,,,,,,,,,
41,44,2,,,,,,,,,,
42,44,23,,,,,,,,,,
43,44,15,,,,,,,,,,
1,45,0,,,,,,,,,,
2,45,58,,,,,,,,,,
3,45,4,,,,,,,,,,
4,45,0,,,,,,,,,,
5,45,3,,,,,,,,,,
6,45,4,,,,,,,,,,
7,45,8,,,,,,,,,,
8,45,0,,,,,,,,,,
9,45,51,,,,,,,,,,
10,45,3,,,,,,,,,,
11,45,0,,,,,,,,,,
12,45,11,,,,,,,,,,
13,45,31,,,,,,,,,,
14,45,4,,,,,,,,,,
15,45,0,,,,,,,,,,
16,45,3,,,,,,,,,,
17,45,14,,,,,,,,,,
18,45,0,,,,,,,,,,
19,45,4,,,,,,,,,,
20,45,10,,,,,,,,,,
21,45,3,,,,,,,,,,
22,45,0,,,,,,,,,,
23,45,23,,,,,,,,,,
24,45,34,,,,,,,,,,
25,45,0,,,,,,,,,,
26,45,3,,,,,,,,,,
27,45,3,,,,,,,,,,
28,45,53,,,,,,,,,,
29,45,0,,,,,,,,,,
30,45,4,,,,,,,,,,
31,45,23,,,,,,,,,,
32,45,0,,,,,,,,,,
33,45,10,,,,,,,,,,
34,45,58,,,,,,,,,,
35,45,4,,,,,,,,,,
36,45,0,,,,,,,,,,
37,45,3,,,,,,,,,,
38,45,3,,,,,,,,,,
39,45,0,,,,,,,,,,
40,45,8,,,,,,,,,,
41,45,7,,,,,,,,,,
42,45,53,,,,,,,,,,
43,45,0,,,,,,,,,,
44,45,23,,,,,,,,,,
1,46,15,,,,,,,,,,
2,46,62,,,,,,,,,,
3,46,0,,,,,,,,,,
4,46,2,,,,,,,,,,
5,46,3,,,,,,,,,,
6,46,0,,,,,,,,,,
7,46,38,,,,,,,,,,
8,46,11,,,,,,,,,,
9,46,2,,,,,,,,,,
10,46,0,,,,,,,,,,
11,46,11,,,,,,,,,,
12,46,63,,,,,,,,,,
13,46,0,,,,,,,,,,
14,46,2,,,,,,,,,,
15,46,15,,,,,,,,,,
16,46,3,,,,,,,,,,
17,46,0,,,,,,,,,,
18,46,15,,,,,,,,,,
19,46,2,,,,,,,,,,
20,46,0,,,,,,,,,,
21,46,4,,,,,,,,,,
22,46,5,,,,,,,,,,
24,46,0,,,,,,,,,,
25,46,7,,,,,,,,,,
26,46,21,,,,,,,,,,
27,46,0,,,,,,,,,,
28,46,7,,,,,,,,,,
29,46,2,,,,,,,,,,
30,46,15,,,,,,,,,,
31,46,0,,,,,,,,,,
32,46,10,,,,,,,,,,
33,46,29,,,,,,,,,,
34,46,0,,,,,,,,,,
35,46,14,,,,,,,,,,
36,46,7,,,,,,,,,,
37,46,4,,,,,,,,,,
38,46,0,,,,,,,,,,
39,46,2,,,,,,,,,,
40,46,5,,,,,,,,,,
41,46,0,,,,,,,,,,
42,46,15,,,,,,,,,,
43,46,32,,,,,,,,,,
44,46,2,,,,,,,,,,
45,46,0,,,,,,,,,,
1,47,12,,,,,,,,,,
2,47,7,,,,,,,,,,
3,47,1,,,,,,,,,,
4,47,8,,,,,,,,,,
5,47,7,,,,,,,,,,
6,47,27,,,,,,,,,,
7,47,15,,,,,,,,,,
8,47,1,,,,,,,,,,
9,47,12,,,,,,,,,,
10,47,7,,,,,,,,,,
11,47,31,,,,,,,,,,
12,47,15,,,,,,,,,,
13,47,1,,,,,,,,,,
14,47,12,,,,,,,,,,
15,47,8,,,,,,,,,,
16,47,7,,,,,,,,,,
17,47,45,,,,,,,,,,
18,47,1,,,,,,,,,,
19,47,7,,,,,,,,,,
20,47,23,,,,,,,,,,
21,47,7,,,,,,,,,,
22,47,27,,,,,,,,,,
23,47,1,,,,,,,,,,
24,47,7,,,,,,,,,,
25,47,17,,,,,,,,,,
26,47,8,,,,,,,,,,
27,47,7,,,,,,,,,,
28,47,1,,,,,,,,,,
29,47,15,,,,,,,,,,
30,47,7,,,,,,,,,,
31,47,12,,,,,,,,,,
32,47,7,,,,,,,,,,
33,47,1,,,,,,,,,,
34,47,39,,,,,,,,,,
35,47,7,,,,,,,,,,
36,47,23,,,,,,,,,,
37,47,8,,,,,,,,,,
38,47,1,,,,,,,,,,
39,47,39,,,,,,,,,,
40,47,12,,,,,,,,,,
41,47,7,,,,,,,,,,
42,47,6,,,,,,,,,,
43,47,1,,,,,,,,,,
44,47,12,,,,,,,,,,
45,47,31,,,,,,,,,,
46,47,7,,,,,,,,,,
1,48,3,,,,,,,,,,
2,48,1,,,,,,,,,,
3,48,8,,,,,,,,,,
4,48,0,,,,,,,,,,
5,48,15,,,,,,,,,,
6,48,3,,,,,,,,,,
7,48,1,,,,,,,,,,
8,48,36,,,,,,,,,,
9,48,11,,,,,,,,,,
10,48,8,,,,,,,,,,
11,48,0,,,,,,,,,,
12,48,1,,,,,,,,,,
13,48,31,,,,,,,,,,
14,48,8,,,,,,,,,,
15,48,11,,,,,,,,,,
16,48,31,,,,,,,,,,
17,48,1,,,,,,,,,,
18,48,0,,,,,,,,,,
19,48,52,,,,,,,,,,
20,48,14,,,,,,,,,,
21,48,8,,,,,,,,,,
22,48,1,,,,,,,,,,
23,48,3,,,,,,,,,,
25,48,0,,,,,,,,,,
26,48,11,,,,,,,,,,
27,48,1,,,,,,,,,,
28,48,3,,,,,,,,,,
29,48,8,,,,,,,,,,
30,48,13,,,,,,,,,,
31,48,64,,,,,,,,,,
32,48,0,,,,,,,,,,
33,48,14,,,,,,,,,,
34,48,3,,,,,,,,,,
35,48,11,,,,,,,,,,
36,48,8,,,,,,,,,,
37,48,1,,,,,,,,,,
38,48,65,,,,,,,,,,
39,48,0,,,,,,,,,,
40,48,8,,,,,,,,,,
41,48,21,,,,,,,,,,
42,48,1,,,,,,,,,,
43,48,8,,,,,,,,,,
44,48,15,,,,,,,,,,
45,48,3,,,,,,,,,,
46,48,0,,,,,,,,,,
47,48,1,,,,,,,,,,
1,49,2,,,,,,,,,,
2,49,3,,,,,,,,,,
3,49,7,,,,,,,,,,
4,49,27,,,,,,,,,,
5,49,5,,,,,,,,,,
6,49,2,,,,,,,,,,
7,49,3,,,,,,,,,,
8,49,11,,,,,,,,,,
9,49,7,,,,,,,,,,
10,49,5,,,,,,,,,,
11,49,2,,,,,,,,,,
12,49,3,,,,,,,,,,
13,49,3,,,,,,,,,,
14,49,5,,,,,,,,,,
15,49,21,,,,,,,,,,
16,49,2,,,,,,,,,,
17,49,3,,,,,,,,,,
18,49,3,,,,,,,,,,
19,49,5,,,,,,,,,,
20,49,7,,,,,,,,,,
21,49,2,,,,,,,,,,
22,49,11,,,,,,,,,,
23,49,3,,,,,,,,,,
24,49,3,,,,,,,,,,
25,49,7,,,,,,,,,,
26,49,2,,,,,,,,,,
27,49,9,,,,,,,,,,
28,49,3,,,,,,,,,,
29,49,3,,,,,,,,,,
30,49,66,,,,,,,,,,
31,49,2,,,,,,,,,,
32,49,5,,,,,,,,,,
33,49,21,,,,,,,,,,
34,49,3,,,,,,,,,,
35,49,3,,,,,,,,,,
36,49,2,,,,,,,,,,
37,49,5,,,,,,,,,,
38,49,67,,,,,,,,,,
39,49,3,,,,,,,,,,
40,49,3,,,,,,,,,,
41,49,2,,,,,,,,,,
42,49,7,,,,,,,,,,
43,49,15,,,,,,,,,,
44,49,9,,,,,,,,,,
45,49,3,,,,,,,,,,
46,49,2,,,,,,,,,,
47,49,7,,,,,,,,,,
48,49,11,,,,,,,,,,
1,50,28,,,,,,,,,,
2,50,7,,,,,,,,,,
3,50,0,,,,,,,,,,
4,50,3,,,,,,,,,,
5,50,3,,,,,,,,,,
6,50,47,,,,,,,,,,
7,50,31,,,,,,,,,,
8,50,5,,,,,,,,,,
9,50,3,,,,,,,,,,
10,50,0,,,,,,,,,,
11,50,4,,,,,,,,,,
12,50,18,,,,,,,,,,
13,50,5,,,,,,,,,,
14,50,31,,,,,,,,,,
15,50,3,,,,,,,,,,
16,50,3,,,,,,,,,,
17,50,0,,,,,,,,,,
18,50,23,,,,,,,,,,
19,50,4,,,,,,,,,,
20,50,3,,,,,,,,,,
21,50,3,,,,,,,,,,
22,50,5,,,,,,,,,,
23,50,23,,,,,,,,,,
24,50,0,,,,,,,,,,
26,50,3,,,,,,,,,,
27,50,3,,,,,,,,,,
28,50,18,,,,,,,,,,
29,50,46,,,,,,,,,,
30,50,7,,,,,,,,,,
31,50,0,,,,,,,,,,
32,50,3,,,,,,,,,,
33,50,32,,,,,,,,,,
34,50,19,,,,,,,,,,
35,50,4,,,,,,,,,,
36,50,23,,,,,,,,,,
37,50,3,,,,,,,,,,
38,50,0,,,,,,,,,,
39,50,15,,,,,,,,,,
40,50,5,,,,,,,,,,
41,50,7,,,,,,,,,,
42,50,3,,,,,,,,,,
43,50,3,,,,,,,,,,
44,50,5,,,,,,,,,,
45,50,0,,,,,,,,,,
46,50,7,,,,,,,,,,
47,50,28,,,,,,,,,,
48,50,3,,,,,,,,,,
49,50,3,,,,,,,,,,
1,51,8,,,,,,,,,,
2,51,4,,,,,,,,,,
3,51,29,,,,,,,,,,
4,51,2,,,,,,,,,,
5,51,3,,,,,,,,,,
6,51,11,,,,,,,,,,
7,51,46,,,,,,,,,,
8,51,8,,,,,,,,,,
9,51,2,,,,,,,,,,
10,51,3,,,,,,,,,,
11,51,40,,,,,,,,,,
12,51,8,,,,,,,,,,
13,51,4,,,,,,,,,,
14,51,2,,,,,,,,,,
15,51,8,,,,,,,,,,
16,51,3,,,,,,,,,,
17,51,53,,,,,,,,,,
18,51,4,,,,,,,,,,
19,51,2,,,,,,,,,,
20,51,32,,,,,,,,,,
21,51,3,,,,,,,,,,
22,51,21,,,,,,,,,,
23,51,8,,,,,,,,,,
24,51,2,,,,,,,,,,
25,51,40,,,,,,,,,,
26,51,4,,,,,,,,,,
27,51,3,,,,,,,,,,
28,51,29,,,,,,,,,,
29,51,2,,,,,,,,,,
30,51,8,,,,,,,,,,
31,51,12,,,,,,,,,,
32,51,3,,,,,,,,,,
33,51,32,,,,,,,,,,
34,51,2,,,,,,,,,,
35,51,51,,,,,,,,,,
36,51,52,,,,,,,,,,
37,51,4,,,,,,,,,,
38,51,3,,,,,,,,,,
39,51,2,,,,,,,,,,
40,51,21,,,,,,,,,,
41,51,8,,,,,,,,,,
42,51,4,,,,,,,,,,
43,51,3,,,,,,,,,,
44,51,2,,,,,,,,,,
45,51,4,,,,,,,,,,
46,51,11,,,,,,,,,,
47,51,23,,,,,,,,,,
48,51,8,,,,,,,,,,
49,51,2,,,,,,,,,,
50,51,4,,,,,,,,,,
1,52,0,,,,,,,,,,
2,52,40,,,,,,,,,,
3,52,1,,,,,,,,,,
4,52,0,,,,,,,,,,
5,52,11,,,,,,,,,,
6,52,7,,,,,,,,,,
7,52,8,,,,,,,,,,
8,52,0,,,,,,,,,,
9,52,7,,,,,,,,,,
10,52,31,,,,,,,,,,
11,52,0,,,,,,,,,,
12,52,7,,,,,,,,,,
13,52,1,,,,,,,,,,
14,52,7,,,,,,,,,,
15,52,0,,,,,,,,,,
16,52,40,,,,,,,,,,
17,52,7,,,,,,,,,,
18,52,0,,,,,,,,,,
19,52,58,,,,,,,,,,
20,52,7,,,,,,,,,,
21,52,40,,,,,,,,,,
22,52,0,,,,,,,,,,
23,52,1,,,,,,,,,,
24,52,40,,,,,,,,,,
25,52,0,,,,,,,,,,
27,52,31,,,,,,,,,,
28,52,1,,,,,,,,,,
29,52,0,,,,,,,,,,
30,52,18,,,,,,,,,,
31,52,7,,,,,,,,,,
32,52,0,,,,,,,,,,
33,52,1,,,,,,,,,,
34,52,7,,,,,,,,,,
35,52,40,,,,,,,,,,
36,52,0,,,,,,,,,,
37,52,31,,,,,,,,,,
38,52,1,,,,,,,,,,
39,52,0,,,,,,,,,,
40,52,8,,,,,,,,,,
41,52,32,,,,,,,,,,
42,52,7,,,,,,,,,,
43,52,0,,,,,,,,,,
44,52,31,,,,,,,,,,
45,52,7,,,,,,,,,,
46,52,0,,,,,,,,,,
47,52,7,,,,,,,,,,
48,52,1,,,,,,,,,,
49,52,27,,,,,,,,,,
50,52,0,,,,,,,,,,
51,52,8,,,,,,,,,,
1,53,21,,,,,,,,,,
2,53,1,,,,,,,,,,
3,53,0,,,,,,,,,,
4,53,38,,,,,,,,,,
5,53,5,,,,,,,,,,
6,53,0,,,,,,,,,,
7,53,1,,,,,,,,,,
8,53,7,,,,,,,,,,
9,53,39,,,,,,,,,,
10,53,0,,,,,,,,,,
11,53,4,,,,,,,,,,
12,53,1,,,,,,,,,,
13,53,0,,,,,,,,,,
14,53,4,,,,,,,,,,
15,53,15,,,,,,,,,,
16,53,7,,,,,,,,,,
17,53,0,,,,,,,,,,
18,53,23,,,,,,,,,,
19,53,4,,,,,,,,,,
20,53,0,,,,,,,,,,
21,53,12,,,,,,,,,,
22,53,1,,,,,,,,,,
23,53,5,,,,,,,,,,
24,53,0,,,,,,,,,,
25,53,15,,,,,,,,,,
26,53,58,,,,,,,,,,
27,53,0,,,,,,,,,,
28,53,3,,,,,,,,,,
29,53,46,,,,,,,,,,
30,53,4,,,,,,,,,,
31,53,0,,,,,,,,,,
32,53,1,,,,,,,,,,
33,53,65,,,,,,,,,,
34,53,0,,,,,,,,,,
35,53,4,,,,,,,,,,
36,53,68,,,,,,,,,,
37,53,1,,,,,,,,,,
38,53,0,,,,,,,,,,
39,53,3,,,,,,,,,,
40,53,56,,,,,,,,,,
41,53,0,,,,,,,,,,
42,53,1,,,,,,,,,,
43,53,4,,,,,,,,,,
44,53,15,,,,,,,,,,
45,53,0,,,,,,,,,,
46,53,4,,,,,,,,,,
47,53,1,,,,,,,,,,
48,53,0,,,,,,,,,,
49,53,7,,,,,,,,,,
50,53,3,,,,,,,,,,
51,53,4,,,,,,,,,,
52,53,0,,,,,,,,,,
1,54,2,,,,,,,,,,
2,54,15,,,,,,,,,,
3,54,7,,,,,,,,,,
4,54,8,,,,,,,,,,
5,54,4,,,,,,,,,,
6,54,2,,,,,,,,,,
7,54,3,,,,,,,,,,
8,54,23,,,,,,,,,,
9,54,11,,,,,,,,,,
10,54,27,,,,,,,,,,
11,54,2,,,,,,,,,,
12,54,3,,,,,,,,,,
13,54,4,,,,,,,,,,
14,54,7,,,,,,,,,,
15,54,8,,,,,,,,,,
16,54,2,,,,,,,,,,
17,54,3,,,,,,,,,,
18,54,3,,,,,,,,,,
19,54,15,,,,,,,,,,
20,54,45,,,,,,,,,,
21,54,2,,,,,,,,,,
22,54,40,,,,,,,,,,
23,54,3,,,,,,,,,,
24,54,15,,,,,,,,,,
25,54,7,,,,,,,,,,
26,54,2,,,,,,,,,,
28,54,3,,,,,,,,,,
29,54,3,,,,,,,,,,
30,54,22,,,,,,,,,,
31,54,2,,,,,,,,,,
32,54,11,,,,,,,,,,
33,54,38,,,,,,,,,,
34,54,3,,,,,,,,,,
35,54,11,,,,,,,,,,
36,54,2,,,,,,,,,,
37,54,4,,,,,,,,,,
38,54,22,,,,,,,,,,
39,54,3,,,,,,,,,,
40,54,3,,,,,,,,,,
41,54,2,,,,,,,,,,
42,54,23,,,,,,,,,,
43,54,36,,,,,,,,,,
44,54,40,,,,,,,,,,
45,54,3,,,,,,,,,,
46,54,2,,,,,,,,,,
47,54,7,,,,,,,,,,
48,54,8,,,,,,,,,,
49,54,6,,,,,,,,,,
50,54,3,,,,,,,,,,
51,54,2,,,,,,,,,,
52,54,11,,,,,,,,,,
53,54,4,,,,,,,,,,
1,55,58,,,,,,,,,,
2,55,23,,,,,,,,,,
3,55,31,,,,,,,,,,
4,55,0,,,,,,,,,,
5,55,15,,,,,,,,,,
6,55,31,,,,,,,,,,
7,55,23,,,,,,,,,,
8,55,11,,,,,,,,,,
9,55,12,,,,,,,,,,
10,55,15,,,,,,,,,,
11,55,0,,,,,,,,,,
12,55,28,,,,,,,,,,
13,55,5,,,,,,,,,,
14,55,11,,,,,,,,,,
15,55,23,,,,,,,,,,
16,55,31,,,,,,,,,,
17,55,21,,,,,,,,,,
18,55,0,,,,,,,,,,
19,55,32,,,,,,,,,,
20,55,23,,,,,,,,,,